size insertionsort  quicksort  mergesort heapsort
5 296 398 925 531
10 769 1054 2401 1626
15 1175 1688 3396 2696
20 1215 1628 3301 2886
25 654 829 1679 1577
30 1036 1241 2437 2226
35 1312 1490 2917 2623
40 1448 1635 3044 2819
45 2810 2797 5537 5158
50 2194 2170 4174 4145
55 2577 2393 4538 4796
60 3543 3233 5873 5904
65 4608 4208 7048 7039
70 3967 3342 6261 6643
75 4546 3611 6765 6750
80 5868 4473 8235 8592
85 4872 3766 7059 7206
90 5937 4454 8331 8742
95 7078 5122 9239 10329
