size insertionsort  quicksort  mergesort heapsort
5 285 337 864 512
10 797 1159 2265 1714
15 1262 1808 4132 3129
20 619 855 1667 1470
25 817 1048 2063 1901
30 1032 1353 2484 2434
35 1373 1683 3416 3256
40 2384 2804 5244 5120
45 1748 2037 3785 3747
50 2184 2424 4476 4398
55 3214 3223 5829 5857
60 3415 3404 6244 6633
65 3666 3700 6526 6719
70 3887 3533 6561 6625
75 4978 4511 8307 8806
80 4868 4645 7810 8384
85 5656 4722 9717 9841
90 5748 4850 8626 8966
95 5943 5107 8774 9117
